name,glon,glat,ra,dec,nband,flux1,flux2,flux3,flux4,flux5,flux6,flux7,flux_err1,flux_err2,flux_err3,flux_err4,flux_err5,flux_err6,flux_err7,ercsc_name,note
PLCKERC G210.95-19.33,210.953156,-19.333620,84.689842,-7.005476,4,null,null,null,null,null,6379.351,26511.787,null,null,null,null,null,1206.759,4566.053,null,0
PLCKERC G210.99+05.17,210.997604,5.174953,106.592682,4.074091,4,null,null,null,null,null,753.021,2251.568,null,null,null,null,null,100.995,309.706,null,0
PLCKERC G211.03+54.07,211.032043,54.073215,153.376022,22.740208,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G211.04+01.18,211.043976,1.182747,103.051651,2.219414,3,null,null,null,null,null,1171.992,3768.477,null,null,null,null,null,161.663,708.815,null,0
PLCKERC G211.06-01.82,211.069550,-1.824311,100.386490,0.824665,1,null,null,null,null,null,null,3075.180,null,null,null,null,null,null,552.919,null,0
PLCKERC G211.07-33.73,211.073196,-33.734314,71.500130,-13.251204,2,null,null,null,null,null,null,858.043,null,null,null,null,null,null,159.382,PLCKERC353 G032.89-51.11,0
PLCKERC G211.16+22.80,211.165588,22.803516,122.673424,11.654808,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC545 G032.89-51.10,0
PLCKERC G211.16-01.00,211.168289,-1.007501,101.158356,1.109807,4,null,null,null,null,null,1201.121,4108.455,null,null,null,null,null,156.998,663.907,PLCKERC857 G032.89-51.10,0
PLCKERC G211.17-12.47,211.177368,-12.477142,90.945198,-4.123658,4,null,null,null,null,null,1066.189,3382.478,null,null,null,null,null,115.795,275.160,null,0
PLCKERC G211.19-17.05,211.193451,-17.054049,86.847038,-6.195165,1,null,null,null,null,null,null,1714.398,null,null,null,null,null,null,312.392,null,0
PLCKERC G211.19-15.62,211.198837,-15.626276,88.132965,-5.560868,2,null,null,null,null,null,743.956,2342.215,null,null,null,null,null,63.231,250.299,null,0
PLCKERC G211.20+79.61,211.200195,79.619713,181.202194,26.959908,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G211.22+28.35,211.227112,28.350321,127.885422,13.876543,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G211.25-00.41,211.254623,-0.411597,101.728111,1.304953,6,null,null,null,1189.046,1452.064,6398.007,23109.242,null,null,null,85.291,96.973,333.637,1303.590,null,0
PLCKERC G211.27+61.29,211.276260,61.290791,161.053757,24.348228,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G235.98+68.06,235.980408,68.068947,171.794022,17.028496,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.01+52.87,236.017395,52.875927,158.677551,8.798071,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.03-16.95,236.035492,-16.951006,97.126717,-27.839602,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.08+06.94,236.088791,6.946691,120.237892,-16.993860,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.11+01.06,236.110764,1.065672,114.897194,-19.984165,1,null,null,null,null,null,1448.072,null,null,null,null,null,null,143.045,null,null,0
PLCKERC G236.13+29.27,236.133026,29.276325,139.298004,-4.752350,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC857 G036.84+20.69,0
PLCKERC G236.13+19.52,236.135864,19.527029,131.179062,-10.257837,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC030 G036.92-24.38,0
PLCKERC G236.15-52.80,236.154114,-52.804031,55.645584,-35.125591,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC044 G036.96-24.46,0
PLCKERC G236.16-69.13,236.167953,-69.137901,35.949055,-33.444550,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC070 G036.92-24.38,0
PLCKERC G236.19-03.53,236.194092,-3.535875,110.613266,-22.268288,2,null,null,null,null,null,1787.542,5607.055,null,null,null,null,null,137.082,512.435,PLCKERC100 G036.89-24.37,0
PLCKERC G236.19+40.37,236.195526,40.373337,148.419113,1.580132,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC143 G036.89-24.37,0
PLCKERC G236.20-08.49,236.207138,-8.495667,105.803352,-24.530838,1,null,null,null,null,null,null,875.172,null,null,null,null,null,null,132.203,PLCKERC217 G036.89-24.39,0
PLCKERC G236.27-07.58,236.277679,-7.587202,106.731995,-24.192373,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC353 G036.89-24.38,0
PLCKERC G236.30-16.96,236.307907,-16.961432,97.227257,-28.084791,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.31-04.86,236.310806,-4.866867,109.395012,-22.989883,2,null,null,null,null,null,null,5202.879,null,null,null,null,null,null,738.549,null,0
PLCKERC G236.31-07.82,236.319962,-7.826910,106.516754,-24.336285,2,null,null,null,null,null,null,1549.100,null,null,null,null,null,null,201.317,null,0
PLCKERC G236.44+22.30,236.443466,22.301077,133.673676,-8.943247,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.46-14.39,236.469589,-14.393420,99.968193,-27.233011,5,null,null,null,null,378.991,2459.628,7976.710,null,null,null,null,55.485,134.790,442.757,null,0
PLCKERC G236.58-72.03,236.582626,-72.039131,32.529339,-32.946663,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G236.58-02.13,236.587830,-2.130542,112.150635,-21.950567,5,null,null,null,null,883.749,4205.001,16092.463,null,null,null,null,100.223,389.429,1227.377,null,0
PLCKERC G236.58+38.70,236.589020,38.708885,147.234985,0.371519,5,null,1130.346,718.866,641.966,548.742,527.893,null,null,164.102,135.099,77.535,60.979,60.624,null,null,0
PLCKERC G236.59-02.31,236.595139,-2.316417,111.978142,-22.045559,1,null,null,null,null,null,2687.067,null,null,null,null,null,null,487.247,null,PLCKERC353 G036.91-15.55,0
PLCKERC G236.63+20.84,236.637177,20.846348,132.557358,-9.910715,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0
PLCKERC G267.14-14.16,267.141693,-14.160134,116.815453,-54.246609,2,null,null,null,null,null,null,926.127,null,null,null,null,null,null,106.826,PLCKERC545 G041.60-46.87,0
PLCKERC G267.15-17.94,267.157684,-17.948261,110.812019,-55.837341,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,PLCKERC857 G041.61-46.87,0
